"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,90.0000000000002,32,-1.0443547694415,-19.7790828693056
5.68,90.0000000000002,34,-1.54443223853348,-19.522069350273
5.68,90.0000000000002,36,-2.09692709495209,-19.3294529940775
5.68,90.0000000000002,38,-2.70787002855576,-19.1957592625171
5.68,90.0000000000002,40,-3.38377980299778,-19.116290007312
5.68,90.0000000000002,42,-4.1320148386032,-19.0869976761397
5.68,90.0000000000002,44,-4.96123429980527,-19.1043869093047
5.68,90.0000000000002,46,-5.8820185224464,-19.1654359268789
5.68,90.0000000000002,48,-6.90772888303522,-19.2675315282034
5.68,90.0000000000002,50,-8.0557312747946,-19.4084127174438
5.68,90.0000000000002,52,-9.34916406051422,-19.5861188655199
5.68,90.0000000000002,54,-10.8194636245332,-19.7989389087203
5.68,90.0000000000002,56,-12.5096491044287,-20.0453583588502
5.68,90.0000000000002,58,-14.4767926156957,-20.3240008368667
5.68,90.0000000000002,60,-16.7834367812237,-20.6335604058273
5.68,90.0000000000002,62,-19.4231206594104,-20.9727201286287
5.68,90.0000000000002,64,-21.9528211951007,-21.3400509860009
5.68,90.0000000000002,66,-22.8441422788099,-21.7338835946594
5.68,90.0000000000002,68,-21.4101455207064,-22.152143248199
5.68,90.0000000000002,70,-19.2585889022506,-22.5921371722538
5.68,90.0000000000002,72,-17.322192983917,-23.0502826857146
5.68,90.0000000000002,74,-15.7344826353771,-23.5217684704518
5.68,90.0000000000002,76,-14.4451990464592,-24.0001524172314
5.68,90.0000000000002,78,-13.3898032516753,-24.4769247223413
5.68,90.0000000000002,80,-12.5166884015113,-24.9411113101412
5.68,90.0000000000002,82,-11.7875316445866,-25.3790634874133
5.68,90.0000000000002,84,-11.1740053161269,-25.774661888285
5.68,90.0000000000002,86,-10.6548860477074,-26.110208324343
5.68,90.0000000000002,88,-10.2139900948349,-26.3681982267596
5.68,90.0000000000002,90,-9.83876263315703,-26.5338721521277
5.68,90.0000000000002,92,-9.5193163979357,-26.5979759681439
5.68,90.0000000000002,94,-9.24776930172117,-26.5587862725482
5.68,90.0000000000002,96,-9.0177810319608,-26.422554067293
5.68,90.0000000000002,98,-8.82422368802906,-26.2021710043881
5.68,90.0000000000002,100,-8.66294422670798,-25.9146537468535
5.68,90.0000000000002,102,-8.53059094352097,-25.5784189161761
5.68,90.0000000000002,104,-8.42448544163337,-25.2111284721846
5.68,90.0000000000002,106,-8.34252748122852,-24.8284145936812
